가게;store, shop
햄버거;hamburger
햇빛;sunshine, sunlight
행복;happiness
행복하다;happy
행사;event
허리;waist, hip
현금;cash
현재;now, current
형;brother (as seen from the younger brother)
형님;big brother (honorific form)
형제;sibling
호;No. ~
호랑이;tiger
호주;Australia
호텔;hotel
혼자;alone
홈페이지;home page
홍차;black tea
화;anger
화가;artist, painter
화나다;angry
화내다;get angry
화요일;Tuesday
화장실;restroom, toilet, lavatory
화장품;cosmetics
화장하다;makeup
확인하다;confirm, check
환영하다;welcome
환자;patient
회사;company
회사원;employee
회색;grey
회의;conference
횡단보도;crosswalk
후;after
후배;Junior
휴가;vacation, holiday
휴대전화;cell phone, mobile phone
휴일;holiday
휴지;toilet paper
휴지통;trash can
흐리다;cloudy
흰색;white color
힘;power
